case_id,title,concept_tag,osi_layer,severity,symptom,topology_notes,show_outputs,expected_fault,ground_truth_fix,verification_command
CASE-015,OSPF Passive Interface Blocking Hellos on Transit Link,Routing,Layer 3,High,OSPF adjacency will not form between Distribution Router DR1 and Core Router CR1.,Transit link between DR1 Gi0/0/0 and CR1 Gi0/0/0 (10.200.1.0/30).,"DR1# show ip ospf interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Internet Address 10.200.1.1/30, Area 0
  Process ID 1, Router ID 10.200.1.1, Network Type BROADCAST, Cost: 1
  No Hellos (Passive interface)

DR1# show running-config | section router ospf
router ospf 1
 passive-interface default
 no passive-interface GigabitEthernet0/0/1
 network 10.200.1.0 0.0.0.3 area 0","DR1 has 'passive-interface default' configured, but GigabitEthernet0/0/0 was not exempted with 'no passive-interface GigabitEthernet0/0/0'.","DR1(config)# router ospf 1
DR1(config-router)# no passive-interface GigabitEthernet0/0/0
R1(config-router)# end
DR1# write memory",DR1# show ip ospf neighbor
CASE-016,ACL Implicit Deny Blocking DNS Responses,ACL,Layer 4,High,"Internal clients can send UDP DNS queries to public DNS 8.8.8.8, but never receive replies when outbound ACL is applied.",Inbound ACL on Outside interface Gi0/1 filters return traffic.,"R1# show access-lists OUTSIDE_IN
Extended IP access list OUTSIDE_IN
    10 permit tcp any eq www any established (432 matches)
    20 permit tcp any eq 443 any established (1298 matches)
    30 deny ip any any (580 matches)

R1# show ip interface Gi0/1
GigabitEthernet0/1 is up, line protocol is up
  Inbound  access list is OUTSIDE_IN","ACL OUTSIDE_IN permits established TCP but omits UDP return traffic for DNS (UDP port 53) from 8.8.8.8, which hits rule 30 / implicit deny.","R1(config)# ip access-list extended OUTSIDE_IN
R1(config-ext-nacl)# 25 permit udp any eq domain any
R1(config-ext-nacl)# end
R1# write memory","PC-1> nslookup cisco.com 8.8.8.8
R1# show access-lists OUTSIDE_IN"
CASE-017,NAT Missing 'ip nat outside' on WAN Interface,NAT,Layer 3,Critical,LAN hosts cannot reach external web servers. NAT translation table remains completely empty.,"R1 inside interface Gi0/0 connects to LAN (192.168.10.0/24), outside interface Gi0/1 connects to ISP.","R1# show running-config interface GigabitEthernet0/0
interface GigabitEthernet0/0
 ip address 192.168.10.1 255.255.255.0
 ip nat inside

R1# show running-config interface GigabitEthernet0/1
interface GigabitEthernet0/1
 ip address 198.51.100.2 255.255.255.252

R1# show running-config | include ip nat inside source
ip nat inside source list 1 interface GigabitEthernet0/1 overload",Interface GigabitEthernet0/1 is missing the 'ip nat outside' configuration.,"R1(config)# interface GigabitEthernet0/1
R1(config-if)# ip nat outside
R1(config-if)# end
R1# write memory","PC-1> ping 198.51.100.1
R1# show ip nat translations"
CASE-018,VLAN Not Created in Switch Database,VLAN,Layer 2,Medium,PC on port Fa0/10 assigned to VLAN 30 has link up but cannot communicate with any host or its gateway.,Switch SW1 port Fa0/10 configured with 'switchport access vlan 30'.,"SW1# show running-config interface Fa0/10
interface FastEthernet0/10
 switchport access vlan 30
 switchport mode access

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3, Fa0/4
10   Engineering                      active    Fa0/5, Fa0/6
20   Sales                            active    Fa0/7, Fa0/8
1002 fddi-default                     act/unsup 
1003 token-ring-default               act/unsup",VLAN 30 does not exist in the VLAN database on SW1. Fa0/10 is inactive for data forwarding.,"SW1(config)# vlan 30
SW1(config-vlan)# name Marketing
SW1(config-vlan)# end
SW1# write memory","SW1# show vlan id 30
PC-Marketing> ping 192.168.30.1"
CASE-019,Wrong Default Gateway Configured on End Host,Default Gateway,Layer 3,Low,Host PC-3 can ping local subnet neighbors (192.168.1.x) but cannot reach the Internet or any other subnet.,Subnet 192.168.1.0/24 with router gateway 192.168.1.1. Host PC-3 has static IP.,"PC-3> ipconfig /all
   IP Address. . . . . . . . . . . . : 192.168.1.45
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 192.168.1.254

PC-3> ping 192.168.1.254
Request timed out.

PC-3> ping 192.168.1.1
Reply from 192.168.1.1: bytes=32 time=1ms TTL=255",Default Gateway on PC-3 is misconfigured as 192.168.1.254 instead of 192.168.1.1.,"PC-3 Configuration Setting:
Set IPv4 Default Gateway to 192.168.1.1","PC-3> ping 8.8.8.8
PC-3> ping 192.168.2.1"
CASE-020,RIP Version 1 vs Version 2 Mismatch,Routing,Layer 3,Medium,"Router R1 sends CIDR subnet routes to R2 via RIP, but R2 does not install subnetted routes into its routing table.",R1 and R2 run RIP on link 172.16.0.0/30. Subnets are /26.,"R1# show ip protocols
Routing Protocol is ""rip""
  Sending updates every 30 seconds
  Default version control: send version 2, receive version 2

R2# show ip protocols
Routing Protocol is ""rip""
  Sending updates every 30 seconds
  Default version control: send version 1, receive any version

R2# show running-config | section router rip
router rip
 network 172.16.0.0","Router R2 is running RIP version 1 (classful), discarding subnet mask information sent by R1.","R2(config)# router rip
R2(config-router)# version 2
R2(config-router)# no auto-summary
R2(config-router)# end
R2# write memory",R2# show ip route rip
CASE-021,EIGRP Autonomous System (AS) Number Mismatch,Routing,Layer 3,High,EIGRP neighbors fail to establish adjacency between Router R1 and Router R2.,Point-to-point link 10.10.12.0/30 connecting R1 and R2.,"R1# show running-config | section router eigrp
router eigrp 100
 network 10.10.12.0 0.0.0.3

R2# show running-config | section router eigrp
router eigrp 200
 network 10.10.12.0 0.0.0.3

R1# show ip eigrp neighbors
(no neighbors listed)","EIGRP AS number mismatch: R1 is configured with AS 100, while R2 is configured with AS 200.","R2(config)# no router eigrp 200
R2(config)# router eigrp 100
R2(config-router)# network 10.10.12.0 0.0.0.3
R2(config-router)# end
R2# write memory","R1# show ip eigrp neighbors
R2# show ip route eigrp"
CASE-022,Trunk Port Allowed VLAN List Pruning Error,VLAN,Layer 2,Medium,Users on VLAN 50 cannot communicate across switches SW1 and SW2. VLAN 10 and VLAN 20 operate normally.,Trunk link on Gi0/1 between SW1 and SW2.,"SW1# show interfaces Gi0/1 trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       10,20

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       10,20","Trunk port Gi0/1 allowed VLAN list explicitly restricts traffic to 10,20, excluding VLAN 50.","SW1(config)# interface GigabitEthernet0/1
SW1(config-if)# switchport trunk allowed vlan add 50
SW1(config-if)# end
SW1# write memory",SW1# show interfaces Gi0/1 trunk
CASE-023,Spanning Tree BPDU Guard Err-Disabled Port,STP / Security,Layer 2,Medium,Port Fa0/12 went down immediately after a user connected an unmanaged switch in their office.,Switch SW1 Fa0/12 configured with PortFast and BPDU Guard.,"SW1# show log | include BPDU
%SPANTREE-2-BLOCK_BPDUGUARD: Received BPDU on port Fa0/12 with BPDU Guard enabled. Disabling port.
%PM-4-ERR_DISABLE: bpduguard error detected on Fa0/12, putting Fa0/12 in err-disable state

SW1# show interfaces FastEthernet0/12 status
Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/12                       err-disabled 10           auto   auto 10/100BaseTX",BPDU Guard triggered err-disable shutdown on Fa0/12 after detecting unauthorized BPDU frames from switch.,"SW1(config)# interface FastEthernet0/12
SW1(config-if)# shutdown
SW1(config-if)# no shutdown
SW1(config-if)# end",SW1# show interfaces FastEthernet0/12 status
CASE-024,Standard ACL Placed in Inbound Direction on Wrong Interface,ACL,Layer 3,High,Access-list 10 intended to block Host A (192.168.1.5) from Server B (10.0.0.5) is inadvertently blocking Host A from its local gateway and all destinations.,R1 Gi0/0 connects to LAN 192.168.1.0/24. Gi0/1 connects to Server network 10.0.0.0/24.,"R1# show access-lists 10
Standard IP access list 10
    10 deny   192.168.1.5
    20 permit any

R1# show ip interface Gi0/0
GigabitEthernet0/0 is up, line protocol is up
  Inbound  access list is 10","Standard ACL 10 filters on source IP only and was placed inbound on the source interface Gi0/0, blocking Host A from all destinations including local router services.","R1(config)# interface GigabitEthernet0/0
R1(config-if)# no ip access-group 10 in
R1(config)# interface GigabitEthernet0/1
R1(config-if)# ip access-group 10 out
R1(config-if)# end
R1# write memory","PC-HostA> ping 192.168.1.1
PC-HostA> ping 10.0.0.5"
CASE-025,Static Route Pointing to Incorrect Next-Hop IP,Routing,Layer 3,High,Traffic from Branch Router R1 to Data Center subnet (172.20.0.0/16) is dropped. Traceroute stalls at R1.,R1 is connected to WAN Hub R2 (10.0.12.2) via 10.0.12.0/30 link.,"R1# show ip route static
S    172.20.0.0/16 [1/0] via 10.0.12.6

R1# show ip interface brief | include 10.0.12
GigabitEthernet0/0/1   10.0.12.1       YES manual up                    up

R1# ping 10.0.12.6
Type escape sequence to abort.
Sending 5, 100-byte ICMP Echos to 10.0.12.6, timeout is 2 seconds:
.....
Success rate is 0 percent (0/5)","Static route next-hop is configured as 10.0.12.6, which is outside the local /30 subnet (10.0.12.0/30) and unreachable.","R1(config)# no ip route 172.20.0.0 255.255.0.0 10.0.12.6
R1(config)# ip route 172.20.0.0 255.255.0.0 10.0.12.2
R1(config)# end
R1# write memory",R1# traceroute 172.20.1.1
CASE-026,DHCP Snooping Untrusted Port Dropping DHCP Offers,DHCP,Layer 2,High,Clients on Switch SW1 cannot obtain DHCP address after DHCP snooping was enabled on the switch.,DHCP server is connected to Switch SW1 uplink port Gi0/1.,"SW1# show ip dhcp snooping
Switch DHCP snooping is enabled
DHCP snooping is configured on following VLANs: 10,20

Insertion of option 82 is enabled
Interface                  Trusted    Rate limit (pps)
------------------------   -------    ----------------
FastEthernet0/1            no         unlimited
GigabitEthernet0/1         no         unlimited

SW1# show log | include DHCP_SNOOPING
%DHCP_SNOOPING-5-DHCP_SNOOPING_NON_TRUSTED_PORT: DHCP_SNOOPING drop message on untrusted port GigabitEthernet0/1",Uplink interface Gi0/1 connected to authorized DHCP server is marked untrusted in DHCP snooping.,"SW1(config)# interface GigabitEthernet0/1
R1(config-if)# ip dhcp snooping trust
SW1(config-if)# end
SW1# write memory","SW1# show ip dhcp snooping
PC-1> ipconfig /renew"
CASE-027,Duplex Mismatch Causing Heavy Packet Loss and Collisions,Layer 1 / Physical,Layer 1,Medium,"File transfers between Server 1 and Switch SW1 are extremely slow, experiencing up to 40% packet loss.",Server connected to SW1 Fa0/24. SW1 port is hardcoded to Half duplex while Server NIC is Full duplex.,"SW1# show interfaces FastEthernet0/24
FastEthernet0/24 is up, line protocol is up
  Half-duplex, 100Mb/s, media type is 100BaseTX
  1423 input errors, 1420 CRC, 0 frame
  8923 late collisions, 204 deferred

SW1# show running-config interface Fa0/24
interface FastEthernet0/24
 duplex half
 speed 100","Duplex mismatch: SW1 Fa0/24 is forced to Half-duplex while the connected server is Full-duplex, generating late collisions.","SW1(config)# interface FastEthernet0/24
SW1(config-if)# duplex full
SW1(config-if)# speed 100
SW1(config-if)# end
SW1# write memory",SW1# show interfaces FastEthernet0/24 | include duplex
CASE-028,NAT Pool Address Range Overlapping with Interface Subnet,NAT,Layer 3,High,Inbound return traffic for NAT translation is dropped; router reports ARP conflicts on WAN interface.,WAN interface Gi0/1 has IP 198.51.100.1/30. NAT Pool configured with 198.51.100.10 - 198.51.100.20.,"R1# show ip nat pool PUBLIC_POOL
Pool PUBLIC_POOL : netmask 255.255.255.240
	start 198.51.100.10 end 198.51.100.20
	type generic, total addresses 11, allocated 0 (0%)

R1# show ip interface GigabitEthernet0/1
GigabitEthernet0/1 is up, line protocol is up
  Internet address is 198.51.100.1/30",NAT pool IP range 198.51.100.10-20 belongs to 198.51.100.0/28 which is not routed to R1's /30 point-to-point link by upstream ISP.,"R1(config)# no ip nat pool PUBLIC_POOL
R1(config)# ip nat pool PUBLIC_POOL 203.0.113.10 203.0.113.20 netmask 255.255.255.240
R1(config)# end
R1# write memory",R1# show ip nat pool PUBLIC_POOL
CASE-029,Switchport Access Mode Configured on Trunk Uplink,VLAN,Layer 2,High,"Traffic for VLANs 20, 30, and 40 is dropped between Access Switch SW-ACC and Distribution Switch SW-DIST.",Inter-switch link on Gi0/1.,"SW-ACC# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: Off
Access Mode VLAN: 1 (default)

SW-DIST# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: trunk
Operational Mode: trunk",SW-ACC Gi0/1 is statically configured as an access port instead of 802.1Q trunk port.,"SW-ACC(config)# interface GigabitEthernet0/1
SW-ACC(config-if)# switchport mode trunk
SW-ACC(config-if)# end
SW-ACC# write memory",SW-ACC# show interfaces trunk
